Date,Price in USD,
14:48:32,44081.51982, 
14:49:10,44090.60769, 
14:49:44,44095.53995, 
14:50:18,44077.79998, 
15:03:35,44083.79341,
15:04:11,44093.35212,
15:04:48,44075.84297,
15:05:25,44075.84297,
15:06:03,44075.84297,
15:24:02,43968.17385,
15:24:43,43976.40301,
15:25:17,43993.72094,
15:26:01,43967.28542,
15:26:33,43970.61858,
15:27:10,43980.014,
15:27:47,43987.634,
15:28:20,43987.2981,
15:28:56,43987.38828,
15:29:28,43993.30579,
